nl,t,yv,inv_cost,sc
R12_FSU,coal_ppl,2060,1177.1235328152636,sv_2c_buffer_decoal
R12_FSU,coal_ppl,2070,1157.75753017794,sv_2c_buffer_decoal
R12_FSU,coal_ppl,2080,1146.0788593576729,sv_2c_buffer_decoal
R12_FSU,coal_ppl,2090,1139.7125563411425,sv_2c_buffer_decoal
R12_FSU,coal_ppl,2100,1137.3363176699422,sv_2c_buffer_decoal
R12_FSU,coal_ppl,2110,1137.3363176699422,sv_2c_buffer_decoal
R12_FSU,igcc,2010,2024.37,sv_2c_buffer_decoal
R12_FSU,igcc,2015,2024.37,sv_2c_buffer_decoal
R12_FSU,igcc,2020,2025.0,sv_2c_buffer_decoal
R12_FSU,igcc,2025,2025.0,sv_2c_buffer_decoal
R12_FSU,igcc,2030,1902.0083049024413,sv_2c_buffer_decoal
R12_FSU,igcc,2035,1804.6743370072713,sv_2c_buffer_decoal
R12_FSU,igcc,2040,1726.932718388309,sv_2c_buffer_decoal
R12_FSU,igcc,2045,1664.742900062246,sv_2c_buffer_decoal
R12_FSU,igcc,2050,1615.1045322399386,sv_2c_buffer_decoal
R12_FSU,igcc,2055,1575.734168247523,sv_2c_buffer_decoal
R12_FSU,igcc,2060,1544.8114610347693,sv_2c_buffer_decoal
R12_FSU,igcc,2070,1501.6135894206259,sv_2c_buffer_decoal
R12_FSU,igcc,2080,1475.3924776298898,sv_2c_buffer_decoal
R12_FSU,igcc,2090,1460.132161875429,sv_2c_buffer_decoal
R12_FSU,igcc,2100,1452.2323299879458,sv_2c_buffer_decoal
R12_FSU,igcc,2110,1452.2323299879458,sv_2c_buffer_decoal
R12_FSU,coal_adv_ccs,2030,3882.990040197639,sv_2c_buffer_decoal
R12_FSU,coal_adv_ccs,2035,3690.094992648861,sv_2c_buffer_decoal
R12_FSU,coal_adv_ccs,2040,3536.5796437203103,sv_2c_buffer_decoal
R12_FSU,coal_adv_ccs,2045,3413.9231776948086,sv_2c_buffer_decoal
R12_FSU,coal_adv_ccs,2050,3316.476264762168,sv_2c_buffer_decoal
R12_FSU,coal_adv_ccs,2055,3240.3091115292777,sv_2c_buffer_decoal
R12_FSU,coal_adv_ccs,2060,3182.314341700137,sv_2c_buffer_decoal
R12_FSU,coal_adv_ccs,2070,3105.603897512047,sv_2c_buffer_decoal
R12_FSU,coal_adv_ccs,2080,3063.7680550453315,sv_2c_buffer_decoal
R12_FSU,coal_adv_ccs,2090,3044.683193861582,sv_2c_buffer_decoal
R12_FSU,coal_adv_ccs,2100,3041.85663629231,sv_2c_buffer_decoal
R12_FSU,coal_adv_ccs,2110,3041.85663629231,sv_2c_buffer_decoal
R12_FSU,igcc_ccs,2030,4138.998390576045,sv_2c_buffer_decoal
R12_FSU,igcc_ccs,2035,3932.99085208706,sv_2c_buffer_decoal
R12_FSU,igcc_ccs,2040,3769.0013390444515,sv_2c_buffer_decoal
R12_FSU,igcc_ccs,2045,3637.965717074582,sv_2c_buffer_decoal
R12_FSU,igcc_ccs,2050,3533.829875969771,sv_2c_buffer_decoal
R12_FSU,igcc_ccs,2055,3452.3552327526922,sv_2c_buffer_decoal
R12_FSU,igcc_ccs,2060,3390.1881962947978,sv_2c_buffer_decoal
R12_FSU,igcc_ccs,2070,3307.6407786698765,sv_2c_buffer_decoal
R12_FSU,igcc_ccs,2080,3262.2525917295256,sv_2c_buffer_decoal
R12_FSU,igcc_ccs,2090,3241.089961480281,sv_2c_buffer_decoal
R12_FSU,igcc_ccs,2100,3237.173924968617,sv_2c_buffer_decoal
R12_FSU,igcc_ccs,2110,3237.173924968617,sv_2c_buffer_decoal
R12_FSU,coal_ppl_u,1960,959.3,sv_2c_buffer_decoal
R12_FSU,coal_ppl_u,1965,959.3,sv_2c_buffer_decoal
R12_FSU,coal_ppl_u,1970,959.3,sv_2c_buffer_decoal
R12_FSU,coal_ppl_u,1975,959.3,sv_2c_buffer_decoal
R12_FSU,coal_ppl_u,1980,959.3,sv_2c_buffer_decoal
R12_FSU,coal_ppl_u,1985,959.3,sv_2c_buffer_decoal
